categoria,item_id,qty,rol_producto,fabricante,mpn_modelo,sku,footprint_o_mecanica,poblacion_pcba,alimentacion,interfaz,fuente,nota
HMI,HMI_DISPLAY,1,PRODUCTION_EXTERNAL_ASSEMBLY,Nextion / ITEAD,NX8048P050-011C-Y,6920075776553,NFB:Nextion_NX8048P050_011C_Y_Enclosure,NO,5V 1A,XH2.54 4P UART,https://itead.cc/product/5-0-nextion-intelligent-series-hmi-touch-display-with-enclosure/,5.0in capacitiva Intelligent Series con enclosure; 800x480.
HMI,HMI_SD_EXT,1,PRODUCTION_EXTERNAL_ACCESSORY,Nextion / ITEAD,SDExtender,,17.1x41.48x2.5 mm,NO,N/A,microSD FAT32,https://itead.cc/product/nextion-micro-sd-card-extender/,Extensor de microSD para acceso desde enclosure.
HMI,HMI_SPEAKER,1,PRODUCTION_EXTERNAL_ACCESSORY,Nextion / ITEAD,Nextion BOX Speaker,,31x28x14.8 mm,NO,+0.5A sobre presupuesto HMI,1.25mm 2P female 1.25T-2-2A,https://itead.cc/product/nextion-box-speaker/,1.5W; cable 250mm; reservar HMI total 5V/1.5A.
SERVICE,HMI_FOCA_MAX,1,SERVICE_PROGRAMMING_TOOL_NOT_INSTALLED,Nextion / ITEAD,Foca Max,,50x50x12 mm,NO,DC 8-26V -> 5-5.5V max 2A,USB 2.0 / TTL 3.3V CP2102,https://itead.cc/product/nextion-foca-max-5v2a-output-usb-to-ttl-serial-converter-board/,Incluye USB wire y XH2.54 4P wire; usar para programación/bring-up.
INTERFACE,J_HMI,1,PCBA_BOARD_SIDE_INTERFACE,JST,S4B-XH-A(LF)(SN),,Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,YES,5V_RAIL,5V/GND/UART,https://itead.cc/product/5-0-nextion-intelligent-series-hmi-touch-display-with-enclosure/,Geometría de PCBA congelada post-PR19C; mating con cable Nextion debe verificarse en first article.
